"都道府県コード","都道府県名","元号","和暦（年）","西暦（年）","注","人口（総数）","人口（男）","人口（女）"
"22","静岡県","昭和",60,1985,"",3574692,1759455,1815237
"23","愛知県","昭和",60,1985,"",6455172,3228724,3226448
"24","三重県","昭和",60,1985,"",1747311,847420,899891
"25","滋賀県","昭和",60,1985,"",1155844,568735,587109
"26","京都府","昭和",60,1985,"",2586574,1264035,1322539
"27","大阪府","昭和",60,1985,"",8668095,4286445,4381650
"28","兵庫県","昭和",60,1985,"",5278050,2567814,2710236
"29","奈良県","昭和",60,1985,"",1304866,632955,671911
"30","和歌山県","昭和",60,1985,"",1087206,520172,567034
"31","鳥取県","昭和",60,1985,"",616024,295511,320513
"32","島根県","昭和",60,1985,"",794629,382893,411736
"33","岡山県","昭和",60,1985,"",1916906,926238,990668
"34","広島県","昭和",60,1985,"",2819200,1373853,1445347
"35","山口県","昭和",60,1985,"",1601627,763803,837824
"36","徳島県","昭和",60,1985,"",834889,399689,435200
"37","香川県","昭和",60,1985,"",1022569,492696,529873
"38","愛媛県","昭和",60,1985,"",1529983,728506,801477
"39","高知県","昭和",60,1985,"",839784,398408,441376
"40","福岡県","昭和",60,1985,"",4719259,2270496,2448763
"41","佐賀県","昭和",60,1985,"",880013,417308,462705
"42","長崎県","昭和",60,1985,"",1593968,757617,836351
"43","熊本県","昭和",60,1985,"",1837747,872932,964815
"44","大分県","昭和",60,1985,"",1250214,593014,657200
"45","宮崎県","昭和",60,1985,"",1175543,558355,617188
"46","鹿児島県","昭和",60,1985,"",1819270,856493,962777
"47","沖縄県","昭和",60,1985,"",1179097,581102,597995
"00","全国","平成",2,1990,"",123611167,60696724,62914443
"0A","人口集中地区","平成",2,1990,"",78152452,38564229,39588223
"0B","人口集中地区以外の地区","平成",2,1990,"",45458715,22132495,23326220
"01","北海道","平成",2,1990,"",5643647,2722988,2920659
"02","青森県","平成",2,1990,"",1482873,704758,778115
"03","岩手県","平成",2,1990,"",1416928,680197,736731
"04","宮城県","平成",2,1990,"",2248558,1105103,1143455
"05","秋田県","平成",2,1990,"",1227478,584678,642800
"06","山形県","平成",2,1990,"",1258390,607041,651349
"07","福島県","平成",2,1990,"",2104058,1024354,1079704
"08","茨城県","平成",2,1990,"",2845382,1419117,1426265
"09","栃木県","平成",2,1990,"",1935168,962571,972597
"10","群馬県","平成",2,1990,"",1966265,971704,994561
"11","埼玉県","平成",2,1990,"",6405319,3245868,3159451
"12","千葉県","平成",2,1990,"",5555429,2802774,2752655
"13","東京都","平成",2,1990,"",11855563,5969773,5885790
"14","神奈川県","平成",2,1990,"",7980391,4098147,3882244
"15","新潟県","平成",2,1990,"",2474583,1200376,1274207
"16","富山県","平成",2,1990,"",1120161,538640,581521
"17","石川県","平成",2,1990,"",1164628,562684,601944
"18","福井県","平成",2,1990,"",823585,400391,423194
"19","山梨県","平成",2,1990,"",852966,418701,434265
"20","長野県","平成",2,1990,"",2156627,1048109,1108518
"21","岐阜県","平成",2,1990,"",2066569,1003933,1062636
"22","静岡県","平成",2,1990,"",3670840,1808951,1861889
"23","愛知県","平成",2,1990,"",6690603,3354827,3335776
"24","三重県","平成",2,1990,"",1792514,869515,922999
"25","滋賀県","平成",2,1990,"",1222411,601082,621329
"26","京都府","平成",2,1990,"",2602460,1267620,1334840
"27","大阪府","平成",2,1990,"",8734516,4308184,4426332
"28","兵庫県","平成",2,1990,"",5405040,2619692,2785348
"29","奈良県","平成",2,1990,"",1375481,663591,711890
"30","和歌山県","平成",2,1990,"",1074325,510777,563548
"31","鳥取県","平成",2,1990,"",615722,294899,320823
"32","島根県","平成",2,1990,"",781021,373618,407403
"33","岡山県","平成",2,1990,"",1925877,926721,999156
"34","広島県","平成",2,1990,"",2849847,1385297,1464550
"35","山口県","平成",2,1990,"",1572616,744844,827772
"36","徳島県","平成",2,1990,"",831598,395906,435692
"37","香川県","平成",2,1990,"",1023412,491621,531791
"38","愛媛県","平成",2,1990,"",1515025,716940,798085
"39","高知県","平成",2,1990,"",825034,389063,435971
"40","福岡県","平成",2,1990,"",4811050,2303487,2507563
"41","佐賀県","平成",2,1990,"",877851,414673,463178
"42","長崎県","平成",2,1990,"",1562959,736729,826230
"43","熊本県","平成",2,1990,"",1840326,869441,970885
"44","大分県","平成",2,1990,"",1236942,584672,652270
"45","宮崎県","平成",2,1990,"",1168907,551524,617383
"46","鹿児島県","平成",2,1990,"",1797824,842474,955350
"47","沖縄県","平成",2,1990,"",1222398,598669,623729
"00","全国","平成",7,1995,"",125570246,61574398,63995848
"0A","人口集中地区","平成",7,1995,"",81254670,40027402,41227268
"0B","人口集中地区以外の地区","平成",7,1995,"",44315576,21546996,22768580
"01","北海道","平成",7,1995,"",5692321,2736844,2955477
"02","青森県","平成",7,1995,"",1481663,704189,777474
"03","岩手県","平成",7,1995,"",1419505,681986,737519
"04","宮城県","平成",7,1995,"",2328739,1144739,1184000
"05","秋田県","平成",7,1995,"",1213667,577535,636132
"06","山形県","平成",7,1995,"",1256958,607316,649642
"07","福島県","平成",7,1995,"",2133592,1042030,1091562
"08","茨城県","平成",7,1995,"",2955530,1476437,1479093
"09","栃木県","平成",7,1995,"",1984390,987426,996964
"10","群馬県","平成",7,1995,"",2003540,989610,1013930
"11","埼玉県","平成",7,1995,"",6759311,3419218,3340093
"12","千葉県","平成",7,1995,"",5797782,2923839,2873943
"13","東京都","平成",7,1995,"",11773605,5892704,5880901
"14","神奈川県","平成",7,1995,"",8245900,4209525,4036375
"15","新潟県","平成",7,1995,"",2488364,1209833,1278531
"16","富山県","平成",7,1995,"",1123125,540921,582204
"17","石川県","平成",7,1995,"",1180068,570835,609233
"18","福井県","平成",7,1995,"",826996,401860,425136
"19","山梨県","平成",7,1995,"",881996,434707,447289
"20","長野県","平成",7,1995,"",2193984,1070471,1123513
"21","岐阜県","平成",7,1995,"",2100315,1019549,1080766
"22","静岡県","平成",7,1995,"",3737689,1841947,1895742
"23","愛知県","平成",7,1995,"",6868336,3439180,3429156
"24","三重県","平成",7,1995,"",1841358,893982,947376
"25","滋賀県","平成",7,1995,"",1287005,634648,652357
"26","京都府","平成",7,1995,"",2629592,1276838,1352754
"27","大阪府","平成",7,1995,"",8797268,4321575,4475693
"28","兵庫県","平成",7,1995,"",5401877,2612369,2789508
"29","奈良県","平成",7,1995,"",1430862,688741,742121
"30","和歌山県","平成",7,1995,"",1080435,513450,566985
"31","鳥取県","平成",7,1995,"",614929,294414,320515
"32","島根県","平成",7,1995,"",771441,368789,402652
"33","岡山県","平成",7,1995,"",1950750,938439,1012311
"34","広島県","平成",7,1995,"",2881748,1398986,1482762
"35","山口県","平成",7,1995,"",1555543,736555,818988
"36","徳島県","平成",7,1995,"",832427,395636,436791
"37","香川県","平成",7,1995,"",1027006,493482,533524
"38","愛媛県","平成",7,1995,"",1506700,712518,794182
"39","高知県","平成",7,1995,"",816704,384446,432258
"40","福岡県","平成",7,1995,"",4933393,2357525,2575868
"41","佐賀県","平成",7,1995,"",884316,418666,465650
"42","長崎県","平成",7,1995,"",1544934,726894,818040
"43","熊本県","平成",7,1995,"",1859793,879873,979920
"44","大分県","平成",7,1995,"",1231306,581909,649397
"45","宮崎県","平成",7,1995,"",1175819,556245,619574
"46","鹿児島県","平成",7,1995,"",1794224,840980,953244
"47","沖縄県","平成",7,1995,"",1273440,624737,648703
"00","全国","平成",12,2000,"",126925843,62110764,64815079
"0A","人口集中地区","平成",12,2000,"",82809682,40709080,42100602
"0B","人口集中地区以外の地区","平成",12,2000,"",44116161,21401684,22714477
"01","北海道","平成",12,2000,"",5683062,2719389,2963673
"02","青森県","平成",12,2000,"",1475728,702573,773155
"03","岩手県","平成",12,2000,"",1416180,681238,734942
"04","宮城県","平成",12,2000,"",2365320,1158622,1206698
"05","秋田県","平成",12,2000,"",1189279,564556,624723
"06","山形県","平成",12,2000,"",1244147,601372,642775
"07","福島県","平成",12,2000,"",2126935,1037787,1089148
"08","茨城県","平成",12,2000,"",2985676,1488340,1497336
"09","栃木県","平成",12,2000,"",2004817,995859,1008958
"10","群馬県","平成",12,2000,"",2024852,999349,1025503
"11","埼玉県","平成",12,2000,"",6938006,3500224,3437782
"12","千葉県","平成",12,2000,"",5926285,2976984,2949301
"13","東京都","平成",12,2000,"",12064101,6028562,6035539
"14","神奈川県","平成",12,2000,"",8489974,4308786,4181188
"15","新潟県","平成",12,2000,"",2475733,1202004,1273729
"16","富山県","平成",12,2000,"",1120851,540212,580639
"17","石川県","平成",12,2000,"",1180977,572244,608733
"18","福井県","平成",12,2000,"",828944,402367,426577
"19","山梨県","平成",12,2000,"",888172,436837,451335
"20","長野県","平成",12,2000,"",2215168,1080986,1134182
"21","岐阜県","平成",12,2000,"",2107700,1022186,1085514
"22","静岡県","平成",12,2000,"",3767393,1857031,1910362
"23","愛知県","平成",12,2000,"",7043300,3525698,3517602
"24","三重県","平成",12,2000,"",1857339,901380,955959
"25","滋賀県","平成",12,2000,"",1342832,663432,679400
"26","京都府","平成",12,2000,"",2644391,1278142,1366249
"27","大阪府","平成",12,2000,"",8805081,4304059,4501022
"28","兵庫県","平成",12,2000,"",5550574,2674625,2875949
"29","奈良県","平成",12,2000,"",1442795,691098,751697
"30","和歌山県","平成",12,2000,"",1069912,506882,563030
"31","鳥取県","平成",12,2000,"",613289,293403,319886
"32","島根県","平成",12,2000,"",761503,363994,397509
"33","岡山県","平成",12,2000,"",1950828,936044,1014784
"34","広島県","平成",12,2000,"",2878915,1392496,1486419
"35","山口県","平成",12,2000,"",1527964,722683,805281
"36","徳島県","平成",12,2000,"",824108,391718,432390
"37","香川県","平成",12,2000,"",1022890,491761,531129
"38","愛媛県","平成",12,2000,"",1493092,704289,788803
"39","高知県","平成",12,2000,"",813949,383859,430090
"40","福岡県","平成",12,2000,"",5015699,2388824,2626875
"41","佐賀県","平成",12,2000,"",876654,414377,462277
"42","長崎県","平成",12,2000,"",1516523,712346,804177
"43","熊本県","平成",12,2000,"",1859344,878145,981199
"44","大分県","平成",12,2000,"",1221140,575985,645155
"45","宮崎県","平成",12,2000,"",1170007,552160,617847
"46","鹿児島県","平成",12,2000,"",1786194,837979,948215
"47","沖縄県","平成",12,2000,"",1318220,647877,670343
"00","全国","平成",17,2005,"",127767994,62348977,65419017
"0A","人口集中地区","平成",17,2005,"",84331415,41327595,43003820
"0B","人口集中地区以外の地区","平成",17,2005,"",43436579,21021382,22415197
"01","北海道","平成",17,2005,"",5627737,2675033,2952704
"02","青森県","平成",17,2005,"",1436657,679077,757580
"03","岩手県","平成",17,2005,"",1385041,663580,721461
"04","宮城県","平成",17,2005,"",2360218,1149172,1211046
"05","秋田県","平成",17,2005,"",1145501,540539,604962
"06","山形県","平成",17,2005,"",1216181,585023,631158
"07","福島県","平成",17,2005,"",2091319,1016724,1074595
"08","茨城県","平成",17,2005,"",2975167,1479941,1495226
"09","栃木県","平成",17,2005,"",2016631,1002114,1014517
"10","群馬県","平成",17,2005,"",2024135,996346,1027789
"11","埼玉県","平成",17,2005,"",7054243,3554843,3499400
"12","千葉県","平成",17,2005,"",6056462,3029486,3026976
"13","東京都","平成",17,2005,"",12576601,6264895,6311706
"14","神奈川県","平成",17,2005,"",8791597,4444555,4347042
"15","新潟県","平成",17,2005,"",2431459,1176919,1254540
"16","富山県","平成",17,2005,"",1111729,535617,576112
"17","石川県","平成",17,2005,"",1174026,567060,606966
"18","福井県","平成",17,2005,"",821592,397271,424321
"19","山梨県","平成",17,2005,"",884515,433569,450946
"20","長野県","平成",17,2005,"",2196114,1068203,1127911
"21","岐阜県","平成",17,2005,"",2107226,1020570,1086656
"22","静岡県","平成",17,2005,"",3792377,1868458,1923919
"23","愛知県","平成",17,2005,"",7254704,3638994,3615710
"24","三重県","平成",17,2005,"",1866963,907214,959749
"25","滋賀県","平成",17,2005,"",1380361,681474,698887
"26","京都府","平成",17,2005,"",2647660,1272993,1374667
"27","大阪府","平成",17,2005,"",8817166,4280622,4536544
"28","兵庫県","平成",17,2005,"",5590601,2680288,2910313
"29","奈良県","平成",17,2005,"",1421310,676375,744935
"30","和歌山県","平成",17,2005,"",1035969,488022,547947
"31","鳥取県","平成",17,2005,"",607012,290190,316822
"32","島根県","平成",17,2005,"",742223,353703,388520
"33","岡山県","平成",17,2005,"",1957264,938600,1018664
"34","広島県","平成",17,2005,"",2876642,1390190,1486452
"35","山口県","平成",17,2005,"",1492606,703721,788885
"36","徳島県","平成",17,2005,"",809950,384635,425315
"37","香川県","平成",17,2005,"",1012400,486108,526292
"38","愛媛県","平成",17,2005,"",1467815,691677,776138
"39","高知県","平成",17,2005,"",796292,374435,421857
"40","福岡県","平成",17,2005,"",5049908,2394094,2655814
"41","佐賀県","平成",17,2005,"",866369,408230,458139
"42","長崎県","平成",17,2005,"",1478632,691444,787188
"43","熊本県","平成",17,2005,"",1842233,866916,975317
"44","大分県","平成",17,2005,"",1209571,569796,639775
"45","宮崎県","平成",17,2005,"",1153042,542113,610929
"46","鹿児島県","平成",17,2005,"",1753179,819646,933533
"47","沖縄県","平成",17,2005,"",1361594,668502,693092
"00","全国","平成",22,2010,"",128057352,62327737,65729615
"0A","人口集中地区","平成",22,2010,"",86121462,42051390,44070072
"0B","人口集中地区以外の地区","平成",22,2010,"",41935890,20276347,21659543
"01","北海道","平成",22,2010,"",5506419,2603345,2903074
"02","青森県","平成",22,2010,"",1373339,646141,727198
"03","岩手県","平成",22,2010,"",1330147,634971,695176
"04","宮城県","平成",22,2010,"",2348165,1139566,1208599
"05","秋田県","平成",22,2010,"",1085997,509926,576071
"06","山形県","平成",22,2010,"",1168924,560643,608281
"07","福島県","平成",22,2010,"",2029064,984682,1044382
"08","茨城県","平成",22,2010,"",2969770,1479779,1489991
"09","栃木県","平成",22,2010,"",2007683,996855,1010828
"10","群馬県","平成",22,2010,"",2008068,988019,1020049
"11","埼玉県","平成",22,2010,"",7194556,3608711,3585845
"12","千葉県","平成",22,2010,"",6216289,3098139,3118150
"13","東京都","平成",22,2010,"",13159388,6512110,6647278
"14","神奈川県","平成",22,2010,"",9048331,4544545,4503786
"15","新潟県","平成",22,2010,"",2374450,1148236,1226214
"16","富山県","平成",22,2010,"",1093247,526605,566642
"17","石川県","平成",22,2010,"",1169788,564972,604816
"18","福井県","平成",22,2010,"",806314,389712,416602
"19","山梨県","平成",22,2010,"",863075,422526,440549
"20","長野県","平成",22,2010,"",2152449,1046178,1106271
"21","岐阜県","平成",22,2010,"",2080773,1006247,1074526
"22","静岡県","平成",22,2010,"",3765007,1853952,1911055
"23","愛知県","平成",22,2010,"",7410719,3704220,3706499
"24","三重県","平成",22,2010,"",1854724,903398,951326
"25","滋賀県","平成",22,2010,"",1410777,696769,714008
"26","京都府","平成",22,2010,"",2636092,1265387,1370705
"27","大阪府","平成",22,2010,"",8865245,4285566,4579679
"28","兵庫県","平成",22,2010,"",5588133,2673328,2914805
"29","奈良県","平成",22,2010,"",1400728,663321,737407
"30","和歌山県","平成",22,2010,"",1002198,471397,530801
"31","鳥取県","平成",22,2010,"",588667,280701,307966
"32","島根県","平成",22,2010,"",717397,342991,374406
"33","岡山県","平成",22,2010,"",1945276,933168,1012108
"34","広島県","平成",22,2010,"",2860750,1380671,1480079
"35","山口県","平成",22,2010,"",1451338,684176,767162
"36","徳島県","平成",22,2010,"",785491,372710,412781
"37","香川県","平成",22,2010,"",995842,479951,515891
"38","愛媛県","平成",22,2010,"",1431493,673326,758167
"39","高知県","平成",22,2010,"",764456,359134,405322
"40","福岡県","平成",22,2010,"",5071968,2393965,2678003
"41","佐賀県","平成",22,2010,"",849788,400136,449652
"42","長崎県","平成",22,2010,"",1426779,665899,760880
"43","熊本県","平成",22,2010,"",1817426,853514,963912
"44","大分県","平成",22,2010,"",1196529,564890,631639
"45","宮崎県","平成",22,2010,"",1135233,533035,602198
"46","鹿児島県","平成",22,2010,"",1706242,796896,909346
"47","沖縄県","平成",22,2010,"",1392818,683328,709490
"00","全国","平成",27,2015,"",127094745,61841738,65253007
"0A","人口集中地区","平成",27,2015,"",86868176,42363423,44504753
"0B","人口集中地区以外の地区","平成",27,2015,"",40226569,19478315,20748254
"01","北海道","平成",27,2015,"",5381733,2537089,2844644
"02","青森県","平成",27,2015,"",1308265,614694,693571
"03","岩手県","平成",27,2015,"",1279594,615584,664010
"04","宮城県","平成",27,2015,"",2333899,1140167,1193732
"05","秋田県","平成",27,2015,"",1023119,480336,542783
"06","山形県","平成",27,2015,"",1123891,540226,583665
"07","福島県","平成",27,2015,"",1914039,945660,968379
"08","茨城県","平成",27,2015,"",2916976,1453594,1463382
"09","栃木県","平成",27,2015,"",1974255,981626,992629
"10","群馬県","平成",27,2015,"",1973115,973283,999832
"11","埼玉県","平成",27,2015,"",7266534,3628418,3638116
"12","千葉県","平成",27,2015,"",6222666,3095860,3126806
"13","東京都","平成",27,2015,"",13515271,6666690,6848581
"14","神奈川県","平成",27,2015,"",9126214,4558978,4567236
"15","新潟県","平成",27,2015,"",2304264,1115413,1188851
"16","富山県","平成",27,2015,"",1066328,515147,551181
"17","石川県","平成",27,2015,"",1154008,558589,595419
"18","福井県","平成",27,2015,"",786740,381474,405266
"19","山梨県","平成",27,2015,"",834930,408327,426603
"20","長野県","平成",27,2015,"",2098804,1022129,1076675
"21","岐阜県","平成",27,2015,"",2031903,983850,1048053
"22","静岡県","平成",27,2015,"",3700305,1820993,1879312
"23","愛知県","平成",27,2015,"",7483128,3740844,3742284
"24","三重県","平成",27,2015,"",1815865,883516,932349
"25","滋賀県","平成",27,2015,"",1412916,696941,715975
"26","京都府","平成",27,2015,"",2610353,1248972,1361381
"27","大阪府","平成",27,2015,"",8839469,4256049,4583420
"28","兵庫県","平成",27,2015,"",5534800,2641561,2893239
"29","奈良県","平成",27,2015,"",1364316,643946,720370
"30","和歌山県","平成",27,2015,"",963579,453216,510363
"31","鳥取県","平成",27,2015,"",573441,273705,299736
"32","島根県","平成",27,2015,"",694352,333112,361240
"33","岡山県","平成",27,2015,"",1921525,922226,999299
"34","広島県","平成",27,2015,"",2843990,1376211,1467779
"35","山口県","平成",27,2015,"",1404729,665008,739721
"36","徳島県","平成",27,2015,"",755733,359790,395943
"37","香川県","平成",27,2015,"",976263,472308,503955
"38","愛媛県","平成",27,2015,"",1385262,654380,730882
"39","高知県","平成",27,2015,"",728276,342672,385604
"40","福岡県","平成",27,2015,"",5101556,2410418,2691138
"41","佐賀県","平成",27,2015,"",832832,393073,439759
"42","長崎県","平成",27,2015,"",1377187,645763,731424
"43","熊本県","平成",27,2015,"",1786170,841046,945124
"44","大分県","平成",27,2015,"",1166338,551932,614406
"45","宮崎県","平成",27,2015,"",1104069,519242,584827
"46","鹿児島県","平成",27,2015,"",1648177,773061,875116
"47","沖縄県","平成",27,2015,"",1433566,704619,728947
"1)　沖縄県は調査されなかったため，含まれていない。"
"2)　長野県西筑摩群山口村と岐阜県中津川市の境界紛争地域人口（男39人，女34人）は全国に含まれているが，長野県及び岐阜県のいずれにも含まれていない。"